Date,Log_Return,Volatility,VaR_95,Std_Resid
2021-08-19,4.18858533323494,3.8295016438480523,-5.080794105719742,1.071768222546392
2021-08-20,5.45979069838526,3.893062775934529,-5.166522198003333,1.3808006304047935
2021-08-21,-0.88287012354673,4.0615159178828835,-5.393723413972264,-0.23811732029854488
2021-08-22,0.8473475397265,3.9615978484195797,-5.258958893603207,0.19262439191335395
2021-08-23,0.45413466832807997,3.8653848185925175,-5.129191546340159,0.09569228486113268
2021-08-24,-3.78448943309503,3.7681984823632484,-4.998111451831593,-1.0266806842505163
2021-08-25,2.5960121950429698,3.7595782856036584,-4.986484959365987,0.6680975474009154
2021-08-26,-4.21022974523754,3.7267597976615847,-4.942221015811957,-1.1523353104489336
2021-08-27,4.40994303022677,3.7405041886971553,-4.960758766547361,1.1564472725704964
2021-08-28,-0.31903644385734997,3.8284640598843405,-5.079394664097588,-0.10533822460356607
2021-08-29,-0.14850847584071,3.732123466779008,-4.949455265832103,-0.06236547131464966
2021-08-30,-3.70246399472762,3.638389512313084,-4.823031572062334,-1.0407657412935067
2021-08-31,0.23710718587305998,3.6334087678133082,-4.816313791712909,0.042070692419127
2021-09-01,3.50056537880174,3.542919392590678,-4.694266224982727,0.9642664246826708
2021-09-02,0.9792724788171701,3.576131147315234,-4.7390605872048015,0.25027754262303264
2021-09-03,1.40441280061871,3.495695141169278,-4.6305725044497255,0.3776546821550633
2021-09-04,-0.16154849967335,3.4282041251594033,-4.53954398027341,-0.07169808268967887
2021-09-05,3.5575435016673,3.344852068210667,-4.427122873292393,1.038400583244902
2021-09-06,1.6863140380221902,3.3958915285025153,-4.495962357712703,0.4717662096701969
2021-09-07,-11.723249529729959,3.341347994719605,-4.422396753323329,-3.533752459055146
2021-09-08,-1.54947935729907,4.078003603137342,-5.4159611834492765,-0.40061919494421677
2021-09-09,0.64883905339527,3.986888840226137,-5.293070124922785,0.1416121474291767
2021-09-10,-3.30351866444651,3.887336931046153,-5.158799463324467,-0.8714875730373668
2021-09-11,0.7049939410356,3.852726110748565,-5.112118111072189,0.16111884416968456
2021-09-12,1.88865545282386,3.7583738888359544,-4.984860528934078,0.4801034551177385
2021-09-13,-2.41742960521182,3.6956571915275656,-4.900271368261789,-0.6769233829686466
2021-09-14,4.62720067779098,3.640006641916222,-4.825212676005916,1.248061875027236
2021-09-15,2.27546013145083,3.754821721302392,-4.980069542113553,0.5835731043766739
